"","Variables","Class","Descriptives/ Mean"
"1","SubjectID","integer","1-30"
"2","Activity","factor","6"
"3","TimeBodyAcc-mean()-X-axis","numeric","0.274302742245795"
"4","TimeBodyAcc-mean()-Y-axis","numeric","-0.0178755238674415"
"5","TimeBodyAcc-mean()-Z-axis","numeric","-0.109163815804519"
"6","TimeGravityAcc-mean()-X-axis","numeric","0.697477505882702"
"7","TimeGravityAcc-mean()-Y-axis","numeric","-0.0162128361521394"
"8","TimeGravityAcc-mean()-Z-axis","numeric","0.0741278709325255"
"9","TimeBodyAccJerk-mean()-X-axis","numeric","0.0794735599203562"
"10","TimeBodyAccJerk-mean()-Y-axis","numeric","0.00756520996888408"
"11","TimeBodyAccJerk-mean()-Z-axis","numeric","-0.00495340328183431"
"12","TimeBodyGyro-mean()-X-axis","numeric","-0.0324371599031218"
"13","TimeBodyGyro-mean()-Y-axis","numeric","-0.0742595723452297"
"14","TimeBodyGyro-mean()-Z-axis","numeric","0.0874446468695526"
"15","TimeBodyGyroJerk-mean()-X-axis","numeric","-0.0960567959204382"
"16","TimeBodyGyroJerk-mean()-Y-axis","numeric","-0.0426927819752453"
"17","TimeBodyGyroJerk-mean()-Z-axis","numeric","-0.0548018825799509"
"18","TimeBodyAccMagnitude-mean()","numeric","-0.49728966685894"
"19","TimeGravityAccMagnitude-mean()","numeric","-0.49728966685894"
"20","TimeBodyAccJerkMagnitude-mean()","numeric","-0.607929591545179"
"21","TimeBodyGyroMagnitude-mean()","numeric","-0.565163077212988"
"22","TimeBodyGyroJerkMagnitude-mean()","numeric","-0.736369300428253"
"23","FrequencyBodyAcc-mean()-X-axis","numeric","-0.575799983503946"
"24","FrequencyBodyAcc-mean()-Y-axis","numeric","-0.488732713013952"
"25","FrequencyBodyAcc-mean()-Z-axis","numeric","-0.62973875362598"
"26","FrequencyBodyAcc-meanFreq()-X-axis","numeric","-0.23226609715376"
"27","FrequencyBodyAcc-meanFreq()-Y-axis","numeric","0.0115288797872382"
"28","FrequencyBodyAcc-meanFreq()-Z-axis","numeric","0.0437174260645842"
"29","FrequencyBodyAccJerk-mean()-X-axis","numeric","-0.613928222283428"
"30","FrequencyBodyAccJerk-mean()-Y-axis","numeric","-0.588163069360073"
"31","FrequencyBodyAccJerk-mean()-Z-axis","numeric","-0.714358487490646"
"32","FrequencyBodyAccJerk-meanFreq()-X-axis","numeric","-0.0691017912141093"
"33","FrequencyBodyAccJerk-meanFreq()-Y-axis","numeric","-0.228102065671109"
"34","FrequencyBodyAccJerk-meanFreq()-Z-axis","numeric","-0.137602308791712"
"35","FrequencyBodyGyro-mean()-X-axis","numeric","-0.636739605053057"
"36","FrequencyBodyGyro-mean()-Y-axis","numeric","-0.676686800745998"
"37","FrequencyBodyGyro-mean()-Z-axis","numeric","-0.604391244378742"
"38","FrequencyBodyGyro-meanFreq()-X-axis","numeric","-0.104551025495773"
"39","FrequencyBodyGyro-meanFreq()-Y-axis","numeric","-0.167407475856434"
"40","FrequencyBodyGyro-meanFreq()-Z-axis","numeric","-0.0571809440547551"
"41","FrequencyBodyAccMagnitude-mean()","numeric","-0.536516692548498"
"42","FrequencyBodyAccMagnitude-meanFreq()","numeric","0.0761281754555899"
"43","FrequencyBodyAccJerkMagnitude-mean()","numeric","-0.575617493234432"
"44","FrequencyBodyAccJerkMagnitude-meanFreq()","numeric","0.162545885494571"
"45","FrequencyBodyGyroMagnitude-mean()","numeric","-0.667099099613148"
"46","FrequencyBodyGyroMagnitude-meanFreq()","numeric","-0.0360322479939937"
"47","FrequencyBodyGyroJerkMagnitude-mean()","numeric","-0.756385271117363"
"48","FrequencyBodyGyroJerkMagnitude-meanFreq()","numeric","0.125922459004982"
"49","angle(tBodyAccMean,gravity)","numeric","0.00655573583907996"
"50","angle(tBodyAccJerkMean),gravityMean)","numeric","0.000643885912133426"
"51","angle(tBodyGyroMean,gravityMean)","numeric","0.0219317046182738"
"52","angle(tBodyGyroJerkMean,gravityMean)","numeric","-0.0113731727087864"
"53","angle(X,gravityMean)","numeric","-0.524306549016646"
"54","angle(Y,gravityMean)","numeric","0.0786533502520241"
"55","angle(Z,gravityMean)","numeric","-0.0404362019002546"
"56","TimeBodyAcc-std()-X-axis","numeric","-0.557690076404401"
"57","TimeBodyAcc-std()-Y-axis","numeric","-0.460462635378301"
"58","TimeBodyAcc-std()-Z-axis","numeric","-0.575560246148636"
"59","TimeGravityAcc-std()-X-axis","numeric","-0.96375253077172"
"60","TimeGravityAcc-std()-Y-axis","numeric","-0.952429559765945"
"61","TimeGravityAcc-std()-Z-axis","numeric","-0.93640104156585"
"62","TimeBodyAccJerk-std()-X-axis","numeric","-0.594946699510964"
"63","TimeBodyAccJerk-std()-Y-axis","numeric","-0.565414714340423"
"64","TimeBodyAccJerk-std()-Z-axis","numeric","-0.735957689241115"
"65","TimeBodyGyro-std()-X-axis","numeric","-0.691639902777431"
"66","TimeBodyGyro-std()-Y-axis","numeric","-0.653302029911363"
"67","TimeBodyGyro-std()-Z-axis","numeric","-0.616435294332593"
"68","TimeBodyGyroJerk-std()-X-axis","numeric","-0.703632714557601"
"69","TimeBodyGyroJerk-std()-Y-axis","numeric","-0.763551835158898"
"70","TimeBodyGyroJerk-std()-Z-axis","numeric","-0.709559184010004"
"71","TimeBodyAccMagnitude-std()","numeric","-0.543908670845839"
"72","TimeGravityAccMagnitude-std()","numeric","-0.543908670845839"
"73","TimeBodyAccJerkMagnitude-std()","numeric","-0.584175609709768"
"74","TimeBodyGyroMagnitude-std()","numeric","-0.630394720315622"
"75","TimeBodyGyroJerkMagnitude-std()","numeric","-0.755015188509002"
"76","FrequencyBodyAcc-std()-X-axis","numeric","-0.552201112392524"
"77","FrequencyBodyAcc-std()-Y-axis","numeric","-0.481478729871355"
"78","FrequencyBodyAcc-std()-Z-axis","numeric","-0.582361415029381"
"79","FrequencyBodyAccJerk-std()-X-axis","numeric","-0.612103283207987"
"80","FrequencyBodyAccJerk-std()-Y-axis","numeric","-0.570730968650136"
"81","FrequencyBodyAccJerk-std()-Z-axis","numeric","-0.756489426411787"
"82","FrequencyBodyGyro-std()-X-axis","numeric","-0.711035658050846"
"83","FrequencyBodyGyro-std()-Y-axis","numeric","-0.645433416234092"
"84","FrequencyBodyGyro-std()-Z-axis","numeric","-0.657746585870822"
"85","FrequencyBodyAccMagnitude-std()","numeric","-0.620963293005196"
"86","FrequencyBodyAccJerkMagnitude-std()","numeric","-0.599160868317743"
"87","FrequencyBodyGyroMagnitude-std()","numeric","-0.672322349574843"
"88","FrequencyBodyGyroJerkMagnitude-std()","numeric","-0.771517051737343"
